Thornglint Bridge,"['self enter W battlefield tap .', 'indestruct', '{ W } : add { g } W { w } .']"
Chronostutter,"[""put target creatur W W owner 's librari second W W top .""]"
Whirlpool Drake,"['fli', 'W self enter W battlefield , shuffl W card W W hand W W librari , W draw W mani card .', 'W self die , shuffl W card W W hand W W librari , W draw W mani card .']"
Dust to Dust,['exil two target artifact .']
Hierophant's Chalice,"['W self enter W battlefield , target oppon lose 1 life W W gain 1 life .', '{ W } : add { c } .']"
Shauku's Minion,"['{ b } { r } , { W } : self deal 2 damag W target white creatur .']"
Isolated Watchtower,"['{ W } : add { c } .', '{ 2 } , { W } : scri 1 , W W may reveal W top card W W librari . W W basic land card W reveal W way , put W onto W battlefield tap . activ W W W oppon control W least two W land W W .']"
Daxos's Torment,"['constel — whenev self W anoth enchant enter W battlefield W W control , self becom W 5/5 demon creatur W fli W hast W addit W W W type W end W turn .']"
Griffin Aerie,"['W W begin W W end step , W W gain 3 W W life W turn , creat W 2/2 white griffin creatur token W fli .']"
"Hua Tuo, Honored Physician","['{ W } : put target creatur card W W graveyard W top W W librari . activ W W W turn , W attack W declar .']"
Revolutionary Rebuff,['counter target non-artifact spell unless W control pay { 2 } .']
Cavalier of Gales,"['fli', 'W self enter W battlefield , draw three card , W put two card W W hand W top W W librari W W order .', ""W self die , shuffl W W W owner 's librari , W scri 2 .""]"
Raking Claws,"['target creatur gain doubl strike W end W turn .', 'cycl { 2 }']"
Bloodshot Trainee,"[""{ W } : self deal 4 damag W target creatur . activ W W self 's power W 4 W greater .""]"
Spectral Shepherd,"['fli', ""{ 1 } { u } : return target spirit W control W W owner 's hand .""]"
"Ardenn, Intrepid Archaeologist","['W W begin W combat W W turn , W may attach W number W aura W equip W control W target perman W player .', 'partner']"
Coiling Stalker,"['ninjutsu { 1 } { g }', ""whenev self deal combat damag W W player , put W +1/+1 counter W target creatur W control W W n't W W +1/+1 counter W W .""]"
Rakshasa Vizier,"['whenev one W W card W put W exil W W graveyard , put W mani +1/+1 counter W self .']"
Possessed Skaab,"['W self enter W battlefield , return target instant , sorceri , W creatur card W W graveyard W W hand .', 'W self would die , exil W instead .']"
Phyrexian Lens,"['{ W } , pay 1 life : add one mana W W color .']"
"Xantcha, Sleeper Agent","['self enter W battlefield W W control W W oppon W W choic .', ""self attack W combat W abl W ca n't attack W owner W planeswalk W owner control ."", ""{ 3 } : self 's control lose 2 life W W draw W card . W player may activ W abil .""]"
Blunt the Assault,['W gain 1 life W W creatur W W battlefield . prevent W combat damag W would W dealt W turn .']
"Josu Vess, Lich Knight","['kicker { 5 } { b }', 'menac', 'W self enter W battlefield , W W W kick , creat eight 2/2 black zombi knight creatur token W menac .']"
Orazca Relic,"['ascend', '{ W } : add { c } .', ""{ W } , sacrific self : W gain 3 life W draw W card . activ W W W W W citi 's bless .""]"
Spark Jolt,['self deal 1 damag W W target . scri 1 .']
Shepherd of Rot,['{ W } : W player lose 1 life W W zombi W W battlefield .']
"Akki Lavarunner // Tok-Tok, Volcano Born",[]
Leonin Bladetrap,"['flash', '{ 2 } , sacrific self : W deal 2 damag W W attack creatur without fli .']"
Cloudcrown Oak,['reach']
Flailing Manticore,"['fli , first strike', '{ 1 } : self get +1/+1 W end W turn . W player may activ W abil .', '{ 1 } : self get -1/-1 W end W turn . W player may activ W abil .']"
Skittering Horror,"['W W cast W creatur spell , sacrific self .']"
Hissing Quagmire,"['self enter W battlefield tap .', '{ W } : add { b } W { g } .', ""{ 1 } { b } { g } : self becom W 2/2 black W green element creatur W deathtouch W end W turn . W 's still W land .""]"
Akoum Flameseeker,"['cohort — { W } , tap W untap alli W control : discard W card . W W W , draw W card .']"
Dual Strike,"['W W cast W next instant W sorceri spell W mana valu 4 W less W turn , copi W spell . W may choos new target W W copi .', 'foretel { r }']"
Dark Bargain,['look W W top three card W W librari . put two W W W W hand W W W W W graveyard . self deal 2 damag W W .']
Soultether Golem,"['vanish 1', 'whenev anoth creatur enter W battlefield W W control , put W time counter W self .']"
Cephalid Scout,"['fli', '{ 2 } { u } , sacrific W land : draw W card .']"
Eater of Days,"['fli , trampl', 'W self enter W battlefield , W skip W next two turn .']"
Dwarven Grunt,['mountainwalk']
Coax from the Blind Eternities,['W may reveal W eldrazi card W W W outsid W game W choos W face-up eldrazi card W W W exil . put W card W W hand .']
Kavu Recluse,['{ W } : target land becom W forest W end W turn .']
Sun-Blessed Mount,"['W self enter W battlefield , W may search W librari and/or graveyard W W card name name_huatli__dinosaur_knight , reveal W , W put W W W hand . W W search W librari W way , shuffl .']"
Kyren Legate,"['W W oppon control W plain W W control W mountain , W may cast W spell without pay W mana cost .', 'hast']"
Biogenic Ooze,"['W self enter W battlefield , creat W 2/2 green ooz creatur token .', 'W W begin W W end step , put W +1/+1 counter W W ooz W control .', '{ 1 } { g } { g } { g } : creat W 2/2 green ooz creatur token .']"
Weary Prisoner // Wrathful Jailbreaker,[]
Experimental Overload,"['creat W x/x blue W red weird creatur token , W x W W number W instant W sorceri card W W graveyard . W W may return W instant W sorceri card W W graveyard W W hand . exil self .']"
Skeletal Changeling,"['changel', '{ 1 } { b } : regener self .']"
Tazeem Roilmage,"['kicker { 4 }', 'W self enter W battlefield , W W W kick , return target instant W sorceri card W W graveyard W W hand .']"
Hankyu,"[""equip creatur W `` { W } : put W aim counter W parent '' W `` { W } , remov W aim counter W parent : W creatur deal damag W W target equal W W number W aim counter remov W way . ''"", 'equip { 4 }']"
Darigaaz's Attendant,"['{ 1 } , sacrific self : add { b } { r } { g } .']"
Rites of Initiation,['discard W number W card W random . creatur W control get +1/+0 W end W turn W W card discard W way .']
Scorned Villager // Moonscarred Werewolf,[]
Llanowar Sentinel,"['W self enter W battlefield , W may pay { 1 } { g } . W W W , search W librari W W card name name_llanowar_sentinel , put W card onto W battlefield , W shuffl .']"
Gray Ogre,[]
Lord of Shatterskull Pass,"['level W { 1 } { r }', 'level 1-5', '6/6', 'level 6+', '6/6', 'whenev self attack , W deal 6 damag W W creatur defend player control .']"
Niblis of the Urn,"['fli', 'whenev self attack , W may tap target creatur .']"
War Cadence,"[""{ x } { r } : W turn , creatur ca n't block unless W control pay { x } W W block creatur W control .""]"
Delver of Secrets // Insectile Aberration,[]
"Vorosh, the Hunter","['fli', 'whenev self deal combat damag W W player , W may pay { 2 } { g } . W W W , put six +1/+1 counter W self .']"
"Yannik, Scavenging Sentinel","['partner W name_nikara__lair_scaveng', 'vigil', ""W self enter W battlefield , exil anoth creatur W control W self leav W battlefield . W W W , distribut x +1/+1 counter among W number W target creatur , W x W W exil creatur 's power .""]"
Invoke Despair,"[""target oppon sacrific W creatur . W W ca n't , W lose 2 life W W draw W card . W repeat W process W W enchant W W planeswalk .""]"
Vivid Meadow,"['self enter W battlefield tap W two charg counter W W .', '{ W } : add { w } .', '{ W } , remov W charg counter W self : add one mana W W color .']"
Charity Extractor,['lifelink']
"Chandra, Fire Artisan","['whenev one W W loyalti counter W remov W self , W deal W much damag W target oppon W planeswalk .', '+1 : exil W top card W W librari . W may play W W turn .', '-7 : exil W top seven card W W librari . W may play W W turn .']"
Unflinching Courage,"['enchant creatur', 'enchant creatur get +2/+2 W W trampl W lifelink .']"
Draconic Roar,"['W W addit cost W cast W spell , W may reveal W dragon card W W hand .', ""self deal 3 damag W target creatur . W W reveal W dragon card W control W dragon W W cast W spell , self deal 3 damag W W creatur 's control .""]"
Override,['counter target spell unless W control pay { 1 } W W artifact W control .']
Giant Crab,['{ u } : self gain shroud W end W turn .']
Fleeting Image,"['fli', ""{ 1 } { u } : return self W W owner 's hand .""]"
Woodborn Behemoth,"['W long W W control eight W W land , self get +4/+4 W W trampl .']"
Skirk Drill Sergeant,"[""whenev self W anoth goblin die , W may pay { 2 } { r } . W W W , reveal W top card W W librari . W W 's W goblin perman card , put W onto W battlefield . otherwis , put W W W graveyard .""]"
Raised by Giants,['command creatur W W W base power W tough 10/10 W W giant W addit W W W type .']
Merfolk Trickster,"['flash', 'W self enter W battlefield , tap target creatur W oppon control . W lose W abil W end W turn .']"
Compulsory Rest,"['enchant creatur', ""enchant creatur ca n't attack W block ."", ""enchant creatur W `` { 2 } , sacrific W creatur : W gain 2 life . ''""]"
Wall of Stolen Identity,"[""W may W self enter W battlefield W W copi W W creatur W W battlefield , except W 's W wall W addit W W W type W W defend . W W W , tap W copi creatur W W W n't untap W W control 's untap step W W long W W control self .""]"
Phantom Warrior,"[""self ca n't W block .""]"
Thing in the Ice // Awoken Horror,[]
Lyev Skyknight,"['fli', 'W self enter W battlefield , detain target non-land perman W oppon control .']"
Prosperous Partnership,"['W self enter W battlefield , creat two 1/1 green W white citizen creatur token .', 'tap three untap creatur W control : creat W treasur token .']"
Release to the Wind,"['exil target non-land perman . W W long W W card remain exil , W owner may cast W without pay W mana cost .']"
Akron Legionnaire,"[""except W creatur name name_akron_legionnair W artifact creatur , creatur W control ca n't attack .""]"
Sea Kings' Blessing,['one W W target creatur becom blue W end W turn .']
Soul Burn,"['spend W black and/or red mana W x .', ""self deal x damag W W target . W gain life equal W W damag dealt , W W W W W amount W { b } spent W x , W player 's life total W W damag W dealt , W planeswalk 's loyalti W W damag W dealt , W W creatur 's tough .""]"
Larger Than Life,['target creatur get +4/+4 W gain trampl W end W turn .']
Mothrider Samurai,"['fli', 'bushido 1']"
Fertilid,"['self enter W battlefield W two +1/+1 counter W W .', '{ 1 } { g } , remov W +1/+1 counter W self : target player search W librari W W basic land card , put W onto W battlefield tap , W shuffl .']"
Blade Banish,['exil target creatur W power 4 W greater .']
Warbriar Blessing,"['enchant creatur W control', ""W self enter W battlefield , enchant creatur fight W W one target creatur W W n't control ."", 'enchant creatur get +0/+2 .']"
Candelabra of Tawnos,"['{ x } , { W } : untap x target land .']"
Archfiend of Despair,"['fli', ""W oppon ca n't gain life ."", 'W W begin W W end step , W oppon lose life equal W W life W player lost W turn .']"
Night Incarnate,"['deathtouch', 'W self leav W battlefield , W creatur get -3/-3 W end W turn .', 'evok { 3 } { b }']"
Nightfire Giant,"['self get +1/+1 W long W W control W mountain .', '{ 4 } { r } : self deal 2 damag W W target .']"
Vault of the Archangel,"['{ W } : add { c } .', '{ 2 } { w } { b } , { W } : creatur W control gain deathtouch W lifelink W end W turn .']"
Minion of the Mighty,"['menac', 'pack tactic — whenev self attack , W W attack W creatur W total power 6 W greater W combat , W may put W dragon creatur card W W hand onto W battlefield tap W attack .']"
Pyromancy,"['{ 3 } , discard W card W random : self deal damag W W target equal W W mana valu W W discard card .']"
Jump,['target creatur gain fli W end W turn .']
Helium Squirter,"['graft 3', '{ 1 } : target creatur W W +1/+1 counter W W gain fli W end W turn .']"
Island Fish Jasconius,"[""self W n't untap W W untap step ."", 'W W begin W W upkeep , W may pay { u } { u } { u } . W W W , untap self .', ""self ca n't attack unless defend player control W island ."", 'W W control W island , sacrific self .']"
Norritt,"['{ W } : untap target blue creatur .', ""{ W } : choos target non-wal creatur W activ player W control continu sinc W begin W W turn . W creatur attack W turn W abl . destroy W W W begin W W next end step W W W n't attack W turn . activ W W attack W declar .""]"
Ravages of War,['destroy W land .']
Seedborn Muse,"[""untap W perman W control W W W player 's untap step .""]"
Cautery Sliver,"[""W sliver W `` { 1 } , sacrific W perman : W perman deal 1 damag W W target . ''"", ""W sliver W `` { 1 } , sacrific W perman : prevent W next 1 damag W would W dealt W target player , planeswalk , W sliver creatur W turn . ''""]"
Soul of Emancipation,"['W self enter W battlefield , destroy W W three W target non-land perman . W W W W perman , W control creat W 3/3 white angel creatur token W fli .']"
